State,1990,2000,2005,2010,2014,2015,2016,2017,2018,2019
United States,"60,000","64,600","60,700","58,800","58,000","60,200","61,400","62,900","63,100","65,700"
Alabama ,"47,100","52,500","48,400","47,600","46,300","48,300","49,300","50,200","50,800","51,700"
Alaska,"82,700","79,400","73,800","75,900","77,400","79,200","81,400","76,300","75,700","75,500"
Arizona ,"55,000","62,400","58,100","55,000","54,100","55,600","57,100","59,000","60,300","62,100"
Arkansas,"42,200","49,500","45,900","45,000","44,600","45,300","47,200","47,800","47,900","49,000"
California,"71,500","73,100","70,400","67,800","66,900","69,600","72,200","74,900","76,600","80,400"
Colorado ,"60,200","72,700","66,500","63,500","66,300","69,000","70,000","72,100","73,300","77,100"
Connecticut ,"83,300","83,000","80,000","75,200","75,700","77,000","78,200","77,400","77,700","78,800"
Delaware ,"69,600","72,900","68,900","65,600","64,600","66,100","65,800","65,600","66,000","70,200"
District of Columbia,"61,300","61,800","62,000","71,600","77,400","81,600","80,400","85,900","86,700","92,300"
Florida ,"54,900","59,800","55,700","52,200","51,300","53,300","54,200","54,900","56,500","59,200"
Georgia ,"57,900","65,300","59,800","54,600","53,300","55,300","57,100","58,600","59,800","62,000"
Hawaii ,"77,500","76,700","76,300","74,100","75,200","79,300","79,400","81,100","81,700","83,100"
Idaho ,"50,400","57,800","54,400","51,100","51,700","52,100","55,200","54,500","56,600","61,000"
Illinois ,"64,400","71,700","66,000","62,200","62,100","64,300","64,900","65,700","66,200","69,200"
Indiana ,"57,500","64,000","57,700","52,400","53,400","54,500","55,700","56,500","56,800","57,600"
Iowa,"52,400","60,800","57,200","56,400","58,100","59,100","59,900","61,100","61,000","61,700"
Kansas,"54,500","62,500","56,300","56,700","56,800","58,200","58,500","58,800","59,300","62,100"
Kentucky ,"45,000","51,800","49,000","47,100","46,400","48,800","49,700","50,500","51,200","52,300"
Louisiana ,"43,800","50,100","48,200","49,900","48,200","49,300","48,100","48,100","48,800","51,100"
Maine,"55,600","57,300","56,200","53,800","53,500","55,600","56,500","58,700","56,600","58,900"
Maryland ,"78,600","81,400","80,800","80,900","80,000","81,800","84,100","84,200","84,800","86,700"
Massachusetts,"73,800","77,700","75,000","72,900","74,800","76,200","80,200","80,700","81,300","85,800"
Michigan,"61,900","68,800","60,400","53,400","53,900","55,100","55,900","57,300","57,700","59,600"
Minnesota,"61,700","72,500","68,300","65,200","66,500","68,500","69,900","71,300","71,600","74,600"
Mississippi,"40,200","48,200","43,200","43,300","42,900","43,800","44,500","45,400","45,500","45,800"
Missouri ,"52,600","58,400","55,100","52,100","52,300","54,200","55,100","56,000","55,500","57,400"
Montana,"45,900","50,800","51,600","50,100","50,100","53,400","53,300","55,700","56,300","57,200"
Nebraska ,"51,900","60,400","57,500","56,900","57,000","59,300","60,600","62,500","60,600","63,200"
Nevada,"61,900","68,600","64,500","59,900","55,600","56,600","58,800","60,500","59,700","63,300"
New Hampshire,"72,500","76,100","74,500","71,700","71,900","75,900","75,600","76,500","76,300","77,900"
New Jersey,"81,700","84,900","80,900","79,500","77,700","77,900","81,100","83,500","83,200","85,800"
New Mexico,"48,100","52,500","49,200","49,500","48,400","49,000","49,800","48,800","48,000","51,900"
New York,"65,800","66,800","64,900","63,600","63,600","65,700","67,000","67,700","69,100","72,100"
North Carolina,"53,200","60,300","53,400","50,900","50,300","51,600","53,900","55,000","54,800","57,300"
North Dakota ,"46,300","53,300","53,800","57,200","63,800","65,300","64,600","64,500","65,000","64,600"
Ohio ,"57,300","63,000","57,100","53,000","53,300","55,100","55,800","56,300","57,100","58,600"
Oklahoma ,"47,100","51,400","48,600","49,400","51,400","52,400","52,400","52,200","52,900","54,400"
Oregon,"54,400","63,000","56,400","54,700","55,200","58,400","61,300","62,800","64,600","67,100"
Pennsylvania,"58,000","61,700","58,400","57,900","57,500","60,100","60,600","61,700","62,000","63,500"
Rhode Island ,"64,200","64,800","67,500","61,400","59,300","62,700","64,600","66,600","65,500","71,200"
South Carolina,"52,400","57,100","51,600","49,400","48,900","51,000","52,700","52,700","53,300","56,200"
South Dakota,"44,900","54,300","52,900","53,900","55,100","57,200","58,000","58,900","57,300","59,500"
Tennessee,"49,500","56,000","51,000","48,700","48,000","51,000","51,700","53,500","53,300","56,100"
Texas ,"53,900","61,500","55,300","57,100","57,300","60,100","60,300","61,700","61,700","64,000"
Utah ,"58,800","70,400","62,900","64,300","65,900","67,900","70,300","71,300","72,700","75,800"
Vermont ,"59,500","62,900","60,000","58,100","58,600","61,500","61,400","60,000","61,900","63,000"
Virginia ,"66,500","71,800","71,200","71,300","70,200","71,500","72,600","74,600","73,900","76,500"
Washington,"62,300","70,500","64,600","65,400","66,300","69,200","71,500","74,000","75,400","78,700"
West Virginia,"41,500","45,700","43,900","44,900","44,400","45,300","46,200","45,300","44,900","48,900"
Wisconsin ,"58,800","67,400","61,800","57,600","56,900","60,000","60,500","61,900","61,900","64,200"
Wyoming ,"54,100","58,300","60,600","62,900","61,700","65,000","63,800","63,000","62,700","65,000"