"State","white","black","hispanic","asian","nativePeople","polynesian","MR","Total"
"Alabama","0.644","0.255","0.047","0.013","0.004","0.000","0.037","1.000"
"Alaska","0.579","0.026","0.067","0.070","0.138","0.015","0.105","1.000"
"Arizona","0.521","0.041","0.324","0.033","0.033","0.002","0.047","1.000"
"Arkansas","0.683","0.144","0.083","0.014","0.004","0.004","0.068","1.000"
"California","0.342","0.051","0.403","0.151","0.002","0.003","0.047","1.000"
"Colorado","0.653","0.036","0.222","0.031","0.003","0.002","0.053","1.000"
"Connecticut","0.628","0.097","0.178","0.047","0.001","0.000","0.049","1.000"
"Delaware","0.595","0.203","0.102","0.041","0.000","0.000","0.057","1.000"
"Florida","0.512","0.144","0.270","0.028","0.001","0.000","0.046","1.000"
"Georgia","0.503","0.303","0.100","0.043","0.002","0.000","0.048","1.000"
"Hawaii","0.196","0.013","0.109","0.375","0.000","0.097","0.209","1.000"
"Idaho","0.788","0.007","0.133","0.014","0.007","0.001","0.051","1.000"
"Illinois","0.590","0.132","0.181","0.057","0.001","0.000","0.039","1.000"
"Indiana","0.767","0.086","0.077","0.023","0.001","0.000","0.045","1.000"
"Iowa","0.831","0.034","0.067","0.023","0.003","0.001","0.041","1.000"
"Kansas","0.734","0.047","0.129","0.030","0.004","0.000","0.056","1.000"
"Kentucky","0.830","0.068","0.038","0.015","0.002","0.000","0.047","1.000"
"Louisiana","0.574","0.306","0.055","0.018","0.004","0.000","0.044","1.000"
"Maine","0.900","0.014","0.018","0.011","0.003","0.000","0.053","1.000"
"Maryland","0.481","0.286","0.111","0.068","0.001","0.000","0.052","1.000"
"Massachusetts","0.677","0.061","0.129","0.069","0.001","0.000","0.063","1.000"
"Michigan","0.731","0.131","0.056","0.032","0.003","0.000","0.048","1.000"
"Minnesota","0.769","0.067","0.058","0.050","0.006","0.000","0.049","1.000"
"Mississippi","0.559","0.357","0.031","0.008","0.004","0.000","0.040","1.000"
"Missouri","0.768","0.106","0.046","0.020","0.002","0.001","0.057","1.000"
"Montana","0.838","0.004","0.043","0.007","0.055","0.000","0.054","1.000"
"Nebraska","0.766","0.042","0.120","0.022","0.006","0.000","0.044","1.000"
"Nevada","0.451","0.086","0.301","0.084","0.006","0.007","0.066","1.000"
"New Hampshire","0.876","0.012","0.043","0.027","0.000","0.000","0.043","1.000"
"New Jersey","0.522","0.121","0.216","0.100","0.001","0.000","0.040","1.000"
"New Mexico","0.348","0.016","0.503","0.014","0.081","0.000","0.037","1.000"
"New York","0.535","0.132","0.196","0.087","0.002","0.000","0.048","1.000"
"North Carolina","0.611","0.197","0.101","0.031","0.009","0.000","0.050","1.000"
"North Dakota","0.827","0.029","0.039","0.014","0.043","0.000","0.044","1.000"
"Ohio","0.767","0.115","0.043","0.024","0.001","0.001","0.049","1.000"
"Oklahoma","0.629","0.065","0.119","0.023","0.069","0.001","0.093","1.000"
"Oregon","0.721","0.018","0.140","0.045","0.007","0.004","0.065","1.000"
"Pennsylvania","0.739","0.097","0.084","0.037","0.001","0.000","0.043","1.000"
"Rhode Island","0.689","0.043","0.174","0.030","0.002","0.000","0.060","1.000"
"South Carolina","0.628","0.247","0.063","0.016","0.002","0.000","0.043","1.000"
"South Dakota","0.802","0.020","0.040","0.015","0.076","0.000","0.045","1.000"
"Tennessee","0.723","0.151","0.060","0.017","0.001","0.000","0.048","1.000"
"Texas","0.393","0.114","0.404","0.052","0.002","0.001","0.035","1.000"
"Utah","0.760","0.010","0.147","0.025","0.006","0.008","0.044","1.000"
"Vermont","0.906","0.011","0.020","0.018","0.000","0.000","0.044","1.000"
"Virginia","0.595","0.177","0.102","0.068","0.002","0.001","0.056","1.000"
"Washington","0.646","0.037","0.136","0.094","0.007","0.006","0.073","1.000"
"West Virginia","0.906","0.025","0.017","0.008","0.000","0.000","0.043","1.000"
"Wisconsin","0.793","0.058","0.075","0.030","0.005","0.000","0.039","1.000"
"Wyoming","0.813","0.009","0.106","0.007","0.017","0.000","0.048","1.000"